citeKey	type	author	title	date
burgoyne_comparative_2007	inproceedings	Burgoyne, John Ashley and Pugin, Laurent and Eustace, Greg and Fujinaga, Ichiro	A {Comparative {Survey of {Image {Binarisation {Algorithms for {Optical {Recognition on {Degraded {Musical {Sources	NA
evans_computational_2014	article	Evans, Michael S.	A {Computational {Approach to {Qualitative {Analysis in {Large {Textual {Datasets	NA
baroni_new_2006	article	Baroni, Marco and Bernardini, Silvia	A {New {Approach to the {Study of {Translationese: {Machine-learning the {Difference between {Original and {Translated {Text	NA
juola_prototype_2006	article	Juola, Patrick and Sofko, John and Brennan, Patrick	A {Prototype for {Authorship {Attribution {Studies	NA
heuser_quantitative_2012	techreport	Heuser, Ryan and Le-Khac, Long	A {Quantitative {Literary {History of 2,958 {Nineteenth-{Century {British {Novels: {The {Semantic {Cohort {Method	NA
nadeau_survey_2007	article	Nadeau, David and Sekine, Satoshi	A survey of named entity recognition and classification	NA
labbe_tool_2006	article	Labbé, Cyril and Labbé, Dominique	A {Tool for {Literary {Studies: {Intertextual {Distance and {Tree {Classification	NA
waltman_unified_2010	article	Waltman, Ludo and van Eck, Nees Jan and Noyons, Ed C.M.	A unified approach to mapping and clustering of bibliometric networks	NA
czmiel_adaquate_2003	phdthesis	Czmiel, Alexander	Adäquate {Markupsysteme für die digitale {Behandlung altägyptischer {Texte	NA
van_zundert_alfalab_2009	inproceedings	van Zundert, J. and Zeldenrust, D. and Beaulieu, A.	Alfalab: {Construction and {Deconstruction of a {Digital {Humanities {Experiment	NA
hakinson_interchange_2010	inproceedings	Hakinson, A. and Pugin, Laurent and Fujinaga, I.	An {Interchange {Format for {Optical {Music {Recognition {Applications	NA
feinerer_introduction_2008	article	Feinerer, Ingo	An {Introduction to {Text {Mining in {R	NA
friedlander_asking_2009	incollection	Friedlander, Amy	Asking {Questions and {Building a {Research {Agenda for {Digital {Scholarship	NA
schumacher_big_2016	techreport	Schumacher, Mareike and Held, Marcus and Falk, Claudia and Pernes, Stefan	Big {Data in den {Geisteswissenschaften: {Konzept für eine {Lehr- und {Lernmittelsammlung	NA
edmond_digital_2020	book	NA	Digital {Technology and the {Practices of {Humanities {Research	NA
